item_id,order_id,product_id,quantity,unit_price,discount_percent
1,357,165,8,390.94,6.2
2,303,465,9,53.56,25.52
3,389,373,-5,3891.28,9.55
4,65,195,9,2644.15,19.9
5,158,420,5,3222.47,4.42
6,69,33,3,1050.29,19.41
8,263,73,6,114.78,36.84
9,504,63,8,1836.58,29.74
10,426,273,1,2668.65,29.37
11,312,100,4,551.06,9.24
12,395,255,4,2871.64,37.9
13,426,367,2,3388.74,28.1
14,438,412,3,2548.23,26.3
15,454,333,6,4232.03,16.49
16,441,247,6,2837.57,8.56
17,261,407,8,50.97,1.39
18,292,139,1,4967.39,12.07
19,308,23,4,3869.04,37.73
20,283,159,9,516.72,18.41
21,160,256,5,1203.32,32.44
22,95,223,7,3684.62,28.94
23,495,98,8,2996.39,12.02
24,391,343,1,1772.25,32.69
25,427,12,4,3187.74,25.29
26,56,327,9,2722.65,5.98
27,515,52,4,3384.49,39.89
28,457,517,10,495.91,17.28
29,404,85,3,2405.48,29.81
30,409,514,2,2200.73,27.91
31,139,500,9,2006.83,22.85
32,253,441,2,1650.89,36.97
33,92,375,7,1774.12,12.83
34,25,359,5,3100.29,39.61
35,453,46,3,4624.86,9.34
36,383,56,2,1253.09,24.84
37,152,114,1,1560.33,18.85
38,340,209,9,2754.8,30.01
39,495,19,3,1914.2,36.24
40,45,291,3,1043.45,27.86
41,278,9,8,379.66,26.41
42,369,396,1,1194.28,15.23
43,102,91,8,972.77,20.03
44,469,254,1,4615.24,12.2
45,502,361,-3,1809.12,12.09
46,514,264,1,4399.45,35.62
47,31,156,5,1741.84,15.71
48,141,233,7,2115.8,22.92
49,437,460,10,2734.06,8.27
50,142,208,9,4319.81,12.36
51,139,162,3,1621.61,22.29
52,122,31,6,3838.9,35.21
53,424,281,5,802.19,7.52
54,135,274,1,3047.74,24.49
55,238,82,1,3456.3,19.06
56,515,383,8,960.68,15.5
57,486,232,3,209.54,30.58
58,16,208,7,3800.99,2.65
59,450,333,8,4340.54,35.5
60,438,390,1,3614.99,15.77
61,40,468,2,4143.7,1.7
62,252,41,9,2810.62,20.65
63,51,408,5,4427.77,30.95
64,293,302,3,3085.01,2.18
65,146,513,8,610.2,31.15
66,139,462,7,173.31,18.15
67,207,332,2,3474.0,36.29
68,168,117,2,3545.82,25.36
69,88,164,7,1924.46,15.22
70,175,154,10,852.51,5.78
71,53,457,5,1479.46,7.23
72,135,260,1,110.43,19.91
73,511,506,1,1227.5,23.55
74,488,82,7,3026.02,0.26
75,285,51,9,964.96,2.2
77,112,292,3,3074.89,27.66
78,182,37,10,510.98,11.97
79,378,438,2,4224.38,2.6
80,483,282,2,1679.58,16.55
81,215,60,4,591.05,29.19
82,90,295,10,2163.92,33.91
83,266,363,10,4639.17,24.57
84,509,185,8,4424.14,9.31
85,298,25,1,2351.18,31.87
86,213,47,7,1702.27,22.42
88,308,7,9,613.49,13.33
89,406,30,10,4168.61,7.76
90,347,37,8,3245.98,19.26
91,472,424,6,4642.56,2.24
92,307,20,6,1080.9,27.42
93,363,32,3,1728.8,15.01
94,170,192,10,2996.2,34.58
95,316,33,6,1393.91,3.47
96,244,222,8,2649.25,7.0
98,513,496,4,3675.58,20.95
99,336,136,2,1065.68,1.46
100,397,5,9,1589.36,1.76
101,90,106,8,2626.86,26.36
103,284,452,6,3372.06,10.91
104,162,105,-5,1072.56,14.01
105,327,291,3,2891.71,6.85
106,319,455,6,301.09,1.16
107,52,89,7,2161.01,7.16
108,457,341,6,4096.34,28.52
109,81,135,8,509.94,32.09
110,480,477,8,2379.2,37.9
111,148,402,5,957.6,36.69
112,339,31,8,373.56,4.52
113,491,357,3,3041.98,5.1
114,106,73,2,3972.53,21.31
115,411,250,7,2762.35,38.96
116,394,442,6,3932.35,17.41
117,351,80,4,3709.87,28.48
118,499,475,10,1660.62,3.91
119,456,72,5,3011.38,27.42
120,389,63,8,498.14,32.68
121,1,153,3,2292.22,11.66
122,458,325,4,1533.69,31.77
123,312,9,6,3076.88,20.42
124,131,55,1,54.17,22.4
125,368,241,5,2186.99,23.61
126,326,391,7,2204.19,8.45
127,178,394,3,4224.47,14.41
128,428,129,5,714.67,2.87
129,17,448,8,4876.13,5.43
130,141,436,7,3135.08,18.18
131,435,364,8,1167.42,16.99
132,8,243,8,3575.04,10.77
134,82,287,9,2351.43,3.13
135,91,80,8,3436.17,21.57
136,320,12,1,2370.9,20.51
137,481,362,6,4804.88,31.93
138,297,312,1,3648.51,22.55
139,63,174,8,2885.66,26.25
140,299,294,10,2449.56,5.07
141,79,288,5,1412.32,10.28
142,115,155,3,3312.82,14.79
143,180,186,4,4006.89,34.48
144,352,158,3,4196.19,30.11
145,423,451,7,3643.7,6.69
146,354,119,5,309.99,18.56
147,488,240,8,1930.01,28.22
148,486,446,3,108.72,37.09
149,460,43,6,531.95,21.25
150,363,280,10,1708.09,10.68
151,101,473,10,3877.1,29.96
152,200,185,6,1600.69,0.42
153,9,101,1,2650.06,27.42
154,360,198,5,218.51,24.78
155,59,125,4,3554.97,4.8
156,134,114,10,3493.49,10.13
157,479,465,2,4617.34,11.06
158,438,166,6,3914.62,11.09
159,64,62,7,1328.28,32.51
160,183,206,2,3070.99,7.14
161,504,442,3,1131.01,25.73
162,453,36,5,410.95,22.85
163,257,153,-4,3281.68,0.03
164,39,156,7,3515.27,36.18
165,4,447,8,2049.37,29.11
166,72,494,-4,649.96,21.41
167,368,57,5,3179.75,38.35
168,93,83,9,4213.85,30.42
169,297,41,4,4839.19,26.43
170,307,368,7,2458.19,35.41
171,449,37,4,1005.81,28.79
172,245,316,7,2523.44,38.6
174,122,153,9,3718.2,9.32
176,47,52,-2,4528.08,32.83
177,100,66,10,4098.11,4.25
178,510,65,10,4032.04,17.05
179,412,141,2,1641.87,38.59
180,219,178,1,1710.74,4.83
181,145,379,7,2789.37,17.55
182,42,386,2,3899.43,0.63
183,499,92,-2,3548.37,23.75
184,291,130,8,1070.49,25.59
185,462,39,4,3001.55,28.69
186,91,429,5,72.62,9.43
187,121,371,2,4320.52,39.47
188,520,214,8,1418.31,7.75
189,153,181,8,840.81,36.91
190,56,215,6,2201.62,13.37
191,465,54,2,4628.06,7.04
192,30,73,9,4480.64,28.86
193,334,334,4,1188.81,4.41
194,234,423,4,4355.94,15.02
195,226,497,8,318.98,17.43
196,222,397,8,1898.75,18.31
197,199,208,6,1712.66,1.28
198,62,477,3,2319.97,6.85
199,352,161,5,3958.26,25.52
200,175,89,9,2087.9,20.87
201,222,286,8,121.79,17.12
202,253,228,6,4464.52,23.67
203,153,46,1,248.29,18.83
205,101,86,8,2814.51,0.5
206,417,303,3,1233.36,39.96
207,17,471,5,4296.71,29.89
208,25,142,8,4377.29,16.21
209,380,2,8,4308.89,2.83
210,341,437,1,3776.8,27.92
211,213,344,2,3692.02,2.19
212,373,375,2,2353.5,1.63
213,376,69,9,2825.75,30.94
214,142,117,4,3262.74,29.5
215,215,362,4,4494.77,20.14
216,434,382,1,1758.87,19.45
217,126,300,9,2287.29,14.73
218,68,83,8,1983.88,7.15
219,79,115,3,3500.56,19.85
220,210,427,1,4849.39,21.66
221,136,455,6,3701.66,0.86
222,194,344,1,2087.87,13.71
223,335,456,10,2317.14,22.69
224,314,496,5,1890.92,11.53
225,49,467,6,4783.26,24.75
226,165,187,9,4867.37,33.57
227,158,43,4,4969.18,22.98
228,452,211,6,2834.31,1.39
229,325,460,3,2722.34,6.5
230,309,512,1,3854.16,37.91
231,328,520,1,1689.84,28.22
232,486,151,10,4007.9,29.14
233,453,491,2,4505.86,5.58
234,120,226,1,2257.56,3.7
235,57,228,4,3917.35,30.68
237,503,58,10,4546.81,14.44
238,152,396,7,1895.51,11.39
239,360,90,8,1117.69,35.51
240,426,435,5,3656.6,16.57
241,89,487,4,4942.49,21.01
242,344,385,10,487.82,16.38
243,280,474,3,3565.72,30.21
244,141,297,3,2791.64,1.69
245,310,475,5,1161.38,31.65
246,158,484,5,664.68,26.64
247,295,251,3,190.79,30.59
248,505,371,10,2926.28,22.62
249,265,123,8,1897.35,29.32
250,18,60,3,773.38,18.44
251,139,280,3,1837.76,25.45
252,365,79,5,2593.64,30.66
253,188,172,2,2741.38,34.9
254,309,361,6,4125.41,0.52
255,289,349,8,4608.49,6.52
256,224,193,9,3985.78,22.35
257,117,120,8,4103.28,36.94
258,492,372,5,738.12,17.68
259,351,122,5,1150.67,34.27
260,146,129,4,1088.71,39.24
261,436,20,2,3884.73,30.29
262,44,61,2,2371.96,36.34
263,45,11,5,3785.02,31.29
264,211,360,4,194.83,5.82
265,285,165,6,4282.93,31.23
266,248,102,10,4106.95,30.53
267,223,176,4,4513.22,21.49
268,102,487,9,1863.99,23.58
269,451,364,2,4907.44,16.96
270,234,322,2,661.9,4.41
271,140,296,6,2807.8,1.62
272,336,291,2,2311.88,29.45
273,455,298,9,4925.56,17.12
274,72,14,6,4993.68,19.67
275,108,88,8,640.13,15.79
276,105,373,3,4877.28,13.55
277,414,512,4,1428.67,28.54
278,280,488,7,3350.05,38.01
279,497,466,5,584.78,10.03
280,510,102,3,3702.1,33.21
281,511,392,1,3042.69,13.08
282,311,79,10,3322.35,20.8
283,505,510,4,2476.74,10.47
284,352,441,-1,4406.62,4.77
285,461,471,7,228.11,7.07
286,311,442,3,715.72,28.63
287,500,503,2,3317.39,27.41
288,482,519,9,325.9,10.54
289,387,292,6,1636.39,1.13
290,47,28,6,3837.71,25.01
291,390,366,7,2089.05,2.26
292,251,320,4,2983.03,36.42
293,68,174,2,147.57,13.04
294,472,432,7,1369.76,27.84
295,23,400,7,1645.99,3.91
296,501,509,4,2538.7,30.6
297,348,373,10,4848.67,8.07
298,78,272,4,285.28,39.85
299,412,95,10,3602.65,23.13
300,345,487,2,2164.17,13.89
301,79,308,5,2192.91,21.6
302,205,465,7,3374.22,21.9
303,20,512,9,1104.12,38.48
304,479,445,9,4676.45,29.06
305,62,474,4,781.33,6.02
306,308,66,7,3187.94,33.84
307,274,242,3,2059.04,4.54
309,38,140,3,194.25,31.59
310,285,44,9,4820.75,19.43
311,21,306,2,4342.5,36.02
312,417,144,2,1218.4,22.84
313,513,258,9,2507.43,3.61
314,126,400,6,4038.92,29.76
315,434,180,3,1109.84,10.98
316,419,503,10,2690.68,27.98
317,116,487,9,3429.56,38.53
318,149,377,8,4115.76,0.84
319,36,246,1,1302.27,15.39
320,372,243,2,4295.35,15.54
321,403,242,5,1522.24,34.38
322,165,417,6,3957.12,10.96
323,83,423,8,4636.16,13.31
324,433,268,3,2556.36,14.07
325,335,54,1,3224.8,7.35
326,455,205,-4,3160.07,12.55
327,85,134,3,4242.45,27.43
328,328,137,8,1340.37,27.5
329,336,425,4,1869.62,15.74
330,387,235,-1,4538.88,38.97
331,204,411,3,3109.12,24.02
332,153,121,6,119.87,21.03
333,465,230,8,3582.14,7.62
334,273,134,8,2184.98,8.26
335,221,185,4,2072.19,5.84
336,298,462,4,4541.27,14.79
337,470,137,1,4363.65,38.98
338,408,393,4,3556.84,29.44
339,263,61,2,307.96,37.24
340,483,47,10,76.54,20.18
341,391,380,7,704.58,35.69
342,43,174,3,2543.55,37.21
343,480,444,2,751.89,4.67
344,46,370,8,4634.87,11.32
345,270,321,5,2207.09,6.6
346,504,451,3,313.45,5.94
347,236,267,1,859.6,18.69
348,119,366,1,4944.65,22.43
349,469,152,2,662.09,3.74
350,291,280,3,2838.07,26.53
351,218,185,1,2111.27,3.07
352,511,27,2,1457.19,39.25
353,125,109,6,4193.04,6.15
354,84,276,8,2991.31,0.23
355,45,333,10,4739.72,39.99
356,133,290,1,1649.7,2.22
357,73,95,10,2024.35,7.12
358,409,167,1,1973.09,16.1
359,158,443,5,3692.65,36.87
360,135,205,2,2473.63,35.42
361,488,434,10,496.6,16.9
362,378,437,3,510.09,20.53
363,475,159,4,4656.8,21.09
364,86,82,8,4540.68,19.1
365,153,438,5,1512.63,1.91
366,79,436,9,2094.45,18.59
367,260,84,5,3854.8,0.65
368,474,47,3,462.29,35.07
369,305,466,10,3798.9,18.0
370,272,190,3,437.19,39.29
