order_id,customer_id,order_date,status,region_code
1,254,2025-08-28 17:07:17,PLACED,WEST
2,357,2024-11-09 13:53:11,CANCELLED,NORTH
3,243,2025-06-26 05:07:51,RETURNED,EAST
4,439,2025-02-26 19:44:24,RETURNED,SOUTH
5,212,2026-04-09 15:04:16,RETURNED,EAST
6,288,2025-02-01 17:11:18,RETURNED,SOUTH
7,300,2025-09-05 20:16:08,RETURNED,EAST
8,98,2025-04-23 07:28:44,CANCELLED,NORTH
9,130,2025-06-29 20:38:52,SHIPPED,SOUTH
10,330,2024-07-12 17:25:14,CANCELLED,WEST
11,276,2026-03-06 20:09:37,CANCELLED,WEST
12,78,2025-11-19 17:40:12,PLACED,WEST
13,285,2025-08-09 03:44:16,DELIVERED,WEST
14,336,2025-05-02 13:53:11,PLACED,NORTH
15,470,2026-02-02 00:22:25,DELIVERED,NORTH
16,408,2024-12-03 06:36:43,CANCELLED,SOUTH
17,275,2026-05-28 23:03:16,DELIVERED,EAST
18,134,2024-07-26 16:57:56,CANCELLED,EAST
19,50,2025-11-05 12:41:33,PLACED,WEST
20,128,08-05-2026,CANCELLED,WEST
21,439,20-04-2025,SHIPPED,EAST
22,281,2026-03-06 21:59:58,DELIVERED,EAST
23,381,2025-11-05 21:19:05,SHIPPED,NORTH
24,313,2025-01-13 15:18:22,SHIPPED,WEST
25,94,2025-03-18 06:10:24,PLACED,NORTH
26,489,2026-01-23 04:28:58,SHIPPED,CENTRAL
27,,2024-08-30 08:46:41,PLACED,EAST
28,433,2025-12-05 11:24:22,SHIPPED,WEST
29,235,03-09-2025,PLACED,NORTH
30,321,2026-04-09 08:11:45,DELIVERED,SOUTH
31,137,2025-05-09 03:21:18,SHIPPED,NORTH
32,9,2024-12-06 15:25:31,SHIPPED,WEST
33,219,2025-08-23 05:22:14,SHIPPED,WEST
34,454,2025-12-24 20:13:26,PLACED,NORTH
35,127,2025-08-02 14:59:26,CANCELLED,EAST
36,323,2026-02-26 22:19:13,SHIPPED,EAST
37,87,2025-09-13 12:06:26,RETURNED,CENTRAL
38,292,2024-11-08 21:13:18,PLACED,EAST
39,194,2025-10-31 07:52:55,CANCELLED,EAST
40,56,2025-02-17 01:54:39,CANCELLED,WEST
41,247,2025-03-19 17:42:10,RETURNED,NORTH
42,13,2025-05-26 11:18:44,DELIVERED,SOUTH
43,431,2025-11-21 23:19:02,RETURNED,SOUTH
44,483,2025-03-19 06:57:56,PLACED,NORTH
45,,2024-10-05 23:12:10,DELIVERED,SOUTH
46,62,24-09-2024,RETURNED,EAST
47,514,2025-08-22 13:10:01,CANCELLED,WEST
48,412,2025-12-05 22:37:16,RETURNED,CENTRAL
49,157,2024-09-01 23:00:16,PLACED,EAST
50,209,2024-08-15 04:04:10,RETURNED,EAST
51,68,2026-04-21 21:08:05,CANCELLED,SOUTH
52,251,10-07-2026,CANCELLED,NORTH
53,57,2024-10-20 23:10:11,SHIPPED,NORTH
54,141,27-11-2024,PLACED,SOUTH
