product_id,product_name,category,subcategory,cost_price
1,  Meet Republican  ,Books,Science,1195.81
2,  Measure Measure  ,Home,Decor,3452.56
3,Develop Performance,Home,Lighting,4029.33
4,  Color Radio  ,Clothing,Sportswear,2745.58
5,THESE ITEM,Clothing,Kids,403.48
6,Age Either,Clothing,Kids,3757.34
7,ANIMAL CARE,Home,Decor,2370.05
8,painting person,Home,Decor,2527.34
9,  College Center  ,Books,History,3010.28
10,Professional Music,Books,Science,1289.32
11,Among Vote,Electronics,Laptop,4188.0
12,Page Choice,Electronics,Tablet,249.15
13,Arrive Compare,Clothing,Sportswear,3274.97
14,Evening Win,Home,Kitchen,2207.63
15,Couple Nation,Books,Fiction,1772.41
16,Into Place,Home,Bedding,567.77
17,Organization Public,Clothing,Kids,3483.68
18,After Unit,Home,Decor,2772.98
19,Serve Should,Books,Fiction,1299.37
20,Recently Term,Electronics,Camera,4133.39
21,Federal Your,Electronics,Headphones,2095.58
22,Bed Direction,Clothing,Accessories,3132.04
23,List Policy,Books,History,305.48
24,MARKET TRIP,Home,Lighting,4641.98
25,MEET CONFERENCE,Books,History,192.9
26,Discuss Then,Clothing,Women,2776.65
27,item plant,Books,Fiction,4961.67
28,CHARACTER STUDY,Electronics,Camera,3256.16
29,Pass Tend,Clothing,Sportswear,1494.71
30,Speak Court,Home,Decor,4902.21
31,Price Receive,Clothing,Sportswear,765.98
32,Much Everything,Clothing,Accessories,3744.15
33,Computer Shake,Clothing,Men,3874.74
34,Rich Guess,Books,Science,1372.5
35,Win Long,Electronics,Tablet,1527.85
36,Pick Performance,Books,Non-Fiction,2715.97
37,Authority Drug,Home,Bedding,3826.22
38,Human Image,Books,History,4354.53
39,Cause Boy,Clothing,Accessories,1206.13
40,Admit Degree,Books,Fiction,3736.29
41,Necessary Trade,Books,History,3972.35
42,  Where Mother  ,Clothing,Sportswear,674.92
43,Return Kind,Home,Furniture,543.57
44,The Citizen,Books,Fiction,763.57
45,Police Big,Clothing,Men,3918.55
46,Cost Maybe,Home,Bedding,3478.89
47,Week Possible,Electronics,Tablet,4303.74
48,Plan American,Books,Science,3607.65
49,  Understand Step  ,Books,Comics,3106.42
50,night most,Clothing,Kids,3746.49
51,Soldier Buy,Books,Fiction,3187.05
52,BETTER MEET,Electronics,Camera,3485.31
53,Receive Case,Electronics,Mobile,3990.91
54,Week Player,Home,Bedding,2181.9
55,Notice Their,Clothing,Accessories,2851.34
56,ABILITY WATCH,Clothing,Women,440.89
57,Writer Stage,Books,Comics,1242.11
58,Resource Range,Clothing,Women,3207.63
59,Lawyer Nearly,Books,Science,96.52
60,Kitchen Hospital,Books,Science,2755.66
61,Two Animal,Electronics,Camera,4938.88
62,Save Next,Home,Decor,1287.99
63,Laugh Drop,Home,Kitchen,4274.01
64,Writer Suffer,Electronics,Laptop,2881.02
65,  Meet Strategy  ,Home,Bedding,4890.83
66,  Specific I  ,Books,Science,2851.35
67,Hard Perform,Electronics,Headphones,2508.8
68,Summer Site,Home,Kitchen,4019.56
69,Whatever Sort,Clothing,Women,1290.6
70,Third Same,Clothing,Men,3249.39
71,  Parent Billion  ,Home,Decor,2918.89
72,Large Center,Clothing,Men,1667.26
73,environmental me,Books,Non-Fiction,704.19
74,Space Early,Home,Lighting,4571.76
75,Where Town,Clothing,Kids,4838.55
76,  Because Federal  ,Home,Bedding,2368.24
77,Piece Under,Electronics,Laptop,4834.18
78,Of Issue,Books,Comics,497.0
79,even current,Books,Fiction,2706.03
80,Accept Security,Books,Science,3757.61
81,Six Strategy,Home,Lighting,4120.97
82,Account Participant,Home,Furniture,1207.42
83,Necessary Buy,Electronics,Headphones,1673.63
84,Nature Account,Clothing,Men,4128.08
85,  How Real  ,Home,Decor,741.9
86,Describe Rise,Electronics,Tablet,624.8
87,SUMMER FOUR,Clothing,Accessories,1973.8
88,Issue High,Home,Lighting,2957.33
89,Both Clear,Clothing,Sportswear,540.16
90,Last Reach,Books,Comics,4698.31
91,Pay Environment,Home,Furniture,1884.12
92,every top,Books,History,4284.48
93,North Land,Electronics,Tablet,4513.4
94,Other History,Home,Furniture,1415.61
95,  Population Fact  ,Electronics,Camera,3330.71
96,Response Industry,Electronics,Mobile,1255.67
97,someone democrat,Clothing,Accessories,389.62
98,job old,Clothing,Accessories,4074.61
99,Step Onto,Clothing,Kids,780.39
100,MEETING COUNTRY,Electronics,Tablet,4938.26
101,  Hospital Operation  ,Home,Kitchen,3322.24
102,  One Member  ,Electronics,Laptop,1823.3
103,Environment Food,Clothing,Accessories,128.12
104,PARTICIPANT GUY,Home,Furniture,3721.5
105,Staff Season,Electronics,Mobile,2268.96
106,Information Simply,Home,Lighting,589.82
107,  Certainly Top  ,Clothing,Accessories,3649.85
108,Treat Receive,Home,Decor,4821.93
109,By Small,Electronics,Camera,2160.05
110,Drug Likely,Electronics,Camera,4553.02
111,Stay Scene,Electronics,Mobile,3061.07
112,Color Black,Electronics,Laptop,3140.37
113,Difficult Movie,Home,Decor,2676.26
114,Institution Stock,Books,Comics,2179.49
115,Ground Suddenly,Electronics,Headphones,4334.19
116,oil positive,Books,History,2098.38
117,Same Return,Books,History,3661.58
118,Seat Area,Home,Decor,3342.28
119,College Improve,Home,Kitchen,4618.78
120,  Provide Accept  ,Electronics,Mobile,511.49
121,SUMMER BENEFIT,Electronics,Tablet,2804.04
122,Than Check,Home,Furniture,1800.31
123,Market With,Books,Fiction,3022.03
124,Plan Learn,Home,Furniture,2561.69
125,behavior attack,Clothing,Sportswear,4244.01
126,Everyone Doctor,Home,Lighting,618.68
127,hospital base,Home,Lighting,4045.75
128,Politics Always,Electronics,Headphones,4155.83
129,SHAKE IF,Home,Furniture,1402.69
130,Word Institution,Home,Bedding,80.22
131,Positive Reality,Clothing,Accessories,2033.88
132,  Near Few  ,Clothing,Men,3743.25
133,Seek Picture,Clothing,Sportswear,2295.55
134,Art Young,Clothing,Kids,3621.9
135,STAFF TEN,Electronics,Mobile,829.18
136,continue push,Electronics,Mobile,2243.41
137,Miss Leg,Books,History,2238.12
138,Action Defense,Home,Kitchen,2586.11
139,  To Realize  ,Home,Decor,1452.07
140,Word Summer,Books,Comics,1576.68
141,National Feeling,Clothing,Sportswear,321.17
142,day along,Clothing,Kids,3848.38
143,Step Place,Home,Bedding,643.92
144,MRS NAME,Books,History,689.47
145,Say Each,Clothing,Accessories,4175.1
146,Possible Condition,Home,Furniture,4315.73
147,  Represent Also  ,Electronics,Camera,2325.78
148,Here Edge,Electronics,Tablet,2174.96
149,Real A,Books,History,620.11
150,COACH BEFORE,Electronics,Tablet,4016.54
151,  Fact State  ,Books,Science,2211.72
152,Instead Head,Electronics,Laptop,2964.91
153,Relationship Indicate,Electronics,Camera,3741.73
154,Into Peace,Clothing,Kids,882.26
155,Deep National,Electronics,Headphones,1009.82
156,Administration Since,Home,Bedding,4793.21
157,  Score Authority  ,Clothing,Women,774.9
158,Wide Believe,Clothing,Women,806.71
159,Often Feel,Electronics,Laptop,3158.35
160,She Themselves,Books,Comics,2918.37
161,OPERATION WHO,Home,Bedding,2226.83
162,Pass Happen,Books,History,1548.96
163,  Hand Team  ,Home,Lighting,1792.11
164,Factor Draw,Electronics,Tablet,2286.97
165,Police Day,Electronics,Tablet,429.82
166,Look Wonder,Electronics,Headphones,2559.99
167,International Paper,Books,Comics,4773.45
168,Above Every,Electronics,Camera,3276.6
169,Continue Investment,Home,Lighting,2531.77
170,  Move Both  ,Electronics,Camera,4064.29
171,Operation Baby,Home,Furniture,3248.33
172,Most Financial,Electronics,Laptop,2216.9
173,Grow Your,Books,Comics,3068.54
174,But Suggest,Home,Bedding,1967.71
175,  Must Even  ,Home,Lighting,3956.67
176,Under Note,Home,Furniture,517.8
177,tax student,Books,Science,3632.48
178,  Paper Enough  ,Clothing,Kids,2934.56
179,Rule Level,Clothing,Kids,4840.1
180,Huge Order,Books,Non-Fiction,3558.73
181,Member Speech,Electronics,Tablet,1914.56
182,Either Sometimes,Home,Kitchen,3529.01
183,Group Stand,Electronics,Camera,1841.05
184,LOW RESPONSIBILITY,Home,Bedding,4758.29
185,MAGAZINE WATCH,Home,Decor,1171.39
186,  Peace Training  ,Clothing,Women,1514.17
187,Ahead Meet,Electronics,Headphones,2721.87
188,But Evening,Electronics,Tablet,3109.26
189,AUTHOR IDEA,Books,Non-Fiction,945.19
190,  Property Story  ,Clothing,Sportswear,2083.75
191,Discussion Research,Clothing,Sportswear,1460.39
192,Science Drug,Books,Non-Fiction,1233.88
193,Such Four,Books,Non-Fiction,3407.62
194,Itself Head,Books,History,1444.77
195,Name North,Books,Comics,2122.37
196,Act School,Clothing,Women,735.07
197,There Everyone,Home,Furniture,2428.92
198,  Energy Field  ,Home,Lighting,3571.43
